MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
GEIGER Vinzenz, 38, 1
BAUD Matteo, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
VRHOVNIK Vid, 7, 1
COSTA Samuel, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 46, 1
BAUD Matteo, 40, 1
FAISST Manuel, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
BAUD Matteo, 43, 1
GRAABAK Joergen, 40, 1
RYDZEK Johannes, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
BAUD Matteo, 40, 1
GRAABAK Joergen, 43, 1
RYDZEK Johannes, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
GEIGER Vinzenz, 43, 1
BAUD Matteo, 40, 1
GRAABAK Joergen, 38, 1
RYDZEK Johannes, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GEIGER Vinzenz, 40, 1
GRAABAK Joergen, 38, 1
BAUD Matteo, 36, 1
WEBER Terence, 32, 1
WATABE Akito, 34, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
GEIGER Vinzenz, 38, 1
BAUD Matteo, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
FAISST Manuel, 49, 1
OFTEBRO Jens Luraas, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
GEIGER Vinzenz, 38, 1
BAUD Matteo, 36, 1
WEBER Terence, 34, 1
WATABE Akito, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
FRITZ Martin, 18, 1
HEINIS Marco, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
VRHOVNIK Vid, 7, 1
COSTA Samuel, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
GEIGER Vinzenz, 38, 1
BAUD Matteo, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GEIGER Vinzenz, 40, 1
GRAABAK Joergen, 38, 1
BAUD Matteo, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
GEIGER Vinzenz, 38, 1
BAUD Matteo, 36, 1
WATABE Akito, 34, 1
WEBER Terence, 32, 1
WATABE Yoshito, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HIRVONEN Eero, 19, 1
HEINIS Marco, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
RYDZEK Johannes, 43, 1
GRAABAK Joergen, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
